2490
8
80
2
[[139,12,214,184,153,604,189,129,178,335,0,45,462,175,425,261,309,150,206,1078,492,82,154,0,94,190,399,161,1369,159,543,189,47,212,101,69,204,474,579,231,127,197,167,387,414,117,67,42,208,52,126,180,369,97,248,120,166,0,102,256,89,409,177,47,206,234,183,239,455,78,70,95,135,0,132,308,94,303,145,0],
[139,12,214,184,153,604,189,129,178,335,0,45,462,175,425,261,309,150,206,1078,492,82,154,0,94,190,399,161,1369,159,543,189,47,212,101,69,204,474,579,231,127,197,167,387,414,117,67,42,208,52,126,180,369,97,248,120,166,0,102,256,89,409,177,47,206,234,183,239,455,78,70,95,135,0,132,308,94,303,145,0]]
[[9.7969,12.7449,5.1529,1.7424,1.3924,26.1121,8.8804,13.9876,0,0,0,0,1.6384,29.3764,1.4641,0.6084,10.3041,0,3.3856,13.2496,0.1156,16.6464,26.5225,0,0,5.2441,0.5625,12.7449,5.1984,9.61,6.6564,2.7889,7.84,7.3441,4.84,7.1824,0.2916,0,0.5625,0,2.7225,20.25,14.2884,0,10.6276,33.5241,0.5625,6.4009,4.2025,0.3025,0,0,17.1396,17.5561,2.4964,19.8916,0.1156,0,2.9241,0.36,0,18.5761,0,10.3684,2.0736,10.24,2.1025,10.89,1.0404,0,5.3824,9.1204,25.3009,0,18.0625,15.6816,16.5649,4.1209,21.3444,0],
[9.1809,12.0409,4.7089,1.4884,1.1664,0,8.2944,13.2496,0.01,0.01,0,0.01,1.3924,28.3024,1.2321,0.4624,9.6721,0.01,3.0276,12.5316,0.0576,15.8404,25.5025,0,0.01,0,0.4225,12.0409,4.7524,9,6.1504,2.4649,7.29,6.8121,4.41,6.6564,0.1936,0.01,0.4225,0.01,2.4025,0,13.5424,0.01,9.9856,0,0.4225,5.9049,3.8025,0,0.01,0.01,16.3216,16.7281,2.1904,19.0096,0.0576,0,2.5921,0.25,0.01,17.7241,0.01,9.7344,1.7956,9.61,0,0,0.8464,0.01,4.9284,8.5264,24.3049,0,17.2225,14.8996,0,3.7249,20.4304,0]]
[27,27]
1,2
1,3
1,5
1,6
1,11
2,8
3,4
4,8
5,7
6,7
7,9
8,9
9,10
10,23
11,12
11,14
12,15
13,20
14,16
15,17
16,18
17,20
18,19
19,20
20,21
20,23
21,24
22,25
23,24
24,25
24,26
25,30
26,27
26,28
26,29
27,33
28,34
29,30
30,31
31,32
32,42
33,37
34,35
35,36
35,37
36,42
37,41
38,39
39,40
40,41
41,43
42,43
43,51
44,47
45,46
46,47
47,49
48,49
49,50
50,60
51,60
51,61
52,53
53,54
54,55
54,56
54,57
55,58
56,58
57,59
58,59
59,67
60,62
61,62
62,59
63,64
64,65
65,66
66,73
67,68
68,74
69,70
70,71
71,72
72,74
73,74
74,75
75,76
75,77
76,79
77,78
78,79
79,80
-1,-1
